product_id,rating,timestamp,text,size,color
4757543,5,"Dec,10 2018 22:10:45","OMG!!! Awesome, quality is spot on, so very soft and warm! Absolutely love the pleats on the shoulders, they really stand out and are tre’ stylish. People this company rocks, I have never had a single issue, delivery are timely, mine average eight days from time of purchase and I live is the south USA. Attached picture is of the hoodie with my new shades and beanie , also part of this order",L,BLACK
4757543,4,"Nov,30 2018 16:47:07","Good quality. Looks exactly like the one in the pictures, it's warm and comfortable.",M,RED WINE
4757543,5,"Nov,27 2018 02:58:54",good material and matching real size. Like photo and same fit. Would recommend it.,M,KHAKI
4757543,5,"Nov,19 2018 09:18:43",The relation quality/price is very good and shipment fast. I'm very satisfied with the purchase.,S,DARK GRAY
4757543,5,"Nov,16 2018 10:33:46","He said fits, comfy, warm.",2XL,ARMY GREEN
4757543,5,"Sep,19 2018 06:48:58","Its a light, soft, and very comfortable hoodie",,
4757543,5,"Dec,24 2018 15:11:33",Good fit,M,ARMY GREEN
4757543,5,"Feb,11 2019 03:36:47",It's really comfortable. Very Nice nice product.,M,KHAKI
4757543,5,"Dec,21 2018 14:35:54",Good quality,2XL,RED WINE
4757543,5,"Feb,07 2019 01:21:49","Good quality, I had to exchange this for a larger size, it great and feels good. love it.",2XL,ARMY GREEN
4757543,5,"Jan,31 2019 00:20:51",Good quality,L,ARMY GREEN
4757543,5,"Dec,19 2018 16:33:10",Nice,XL,BLACK
4757543,5,"Dec,19 2018 16:32:36",It came separate from my other orders but it showed up a few days later. Customer service was very helpful.,XL,ARMY GREEN
4757543,5,"Mar,06 2019 09:24:18",The texture of the fabric is amazing and the fit elaborates my muscle definition. Thumbs up!,S,LIGHT GRAY
4757543,4,"Jan,16 2019 11:16:02","It is a nice, warm hoodie and am loving it. The entire hoodie is perfect if you are on the long side. I ordered the beige colored of size M. The color is as depicted on the original photo. The size is bigger than expected especially with the shoulders as you can see on my photo's. My length is 1.80 meter andt it drapes a bit over the hands and legs. I placed my hand on my waist to give an indication. If you are not that wide I suggest on getting a size smaller. Which I will be doing as well. This one I will be using as a chill outfit.",M,BEIGE
4757543,5,"Dec,15 2018 21:58:47",Love the product and the process. Will order from them again!,2XL,RED WINE
4757543,5,"Dec,13 2018 01:20:31","Satisfactory Customer Service and Received it a day later! However, the product is really good, keeps me worm, it is heavy duty. It is excatly what I saw on the picture! Thanks!",M,KHAKI
4757543,5,"Mar,05 2019 01:09:02",Much tighter than expected And I got the 2XL,2XL,BEIGE
4757543,5,"Feb,25 2019 22:59:43","Perfect. Just like everything else I order from this site!! Always happy, that’s why I continue to order from here. Just wish I could get what I order a little quicker, but other than that I never have any complaints, at all!!",L,BLACK
4757543,5,"Jan,15 2019 18:35:26",Material is very good,S,KHAKI
4757543,5,"Dec,28 2018 16:36:42",The pullover is a bit longer and ideal for larger people. It wears very well and you can wash it without any problems I was so to fireden I bought 2 more,M,RED WINE
7471462,5,"Oct,18 2019 02:19:39",great! one of my favorites on my hubby. looks nice and fits great and shows cat daddy pride,L,LIGHT BROWN
4757543,5,"Apr,29 2019 03:15:36",my husband loves his.,2XL,ARMY GREEN
4757543,5,"Feb,25 2019 11:49:18",Good quality so nice hoodie!,M,KHAKI
4757543,5,"Apr,13 2019 11:16:09","Amazing product, fast stress free purchase. Super fast delivery. One very happy customer.",XL,ARMY GREEN
4757543,5,"Apr,10 2019 00:25:59",Love the way it fits!!,M,LIGHT GRAY
4757543,5,"Jul,30 2019 04:14:25",Received it on time,S,RED WINE
4757543,5,"Feb,15 2019 11:00:48",Хорошее качество,S,LIGHT GRAY
4757543,5,"Feb,11 2019 17:16:19","Delivery: Was a bit anxious when I read multiple bad reviews regarding dresslily's reliability on trustpilot. Over half of the reviews were negative. Got even more nervous when the track 'n trace site could not find any other information but the hoodie leaving the warehouse. No information, multiple consecutive days in a row. Something about an ""unknown track"". But it got here, 10 days after the order was confirmed. That's even faster than expected. Also, because I did not spend more than €22 (I got this hoodie for €10 - €11, and €2 - €3 shipping), no extra fees applied (importing stuff from outside of Europe will cost more; €22 is the limit, I think?). Quality: It's 5% cotton and 95% polyester. So even though the material is not that thick, it still keeps me warm. Wouldn't recommend working out in this hoodie, though; it doesn't really ""breathe"". It was not damaged, either during fabrication or transport. I'm 193cm, or well over 6'3, and I got an S, which fits perfectly. So the measuring tables were accurate. Wouldn't know what giant would need XL then, but ok. I'm very, very pleased. It is a great hoodie. Really glad I ordered it, since they seem to be out of stock at the time of writing this review.",S,DARK GRAY
4757543,5,"Sep,27 2019 13:06:18",Sieht aus wie auf dem Foto! Geiler Stoff !!,S,ARMY GREEN
4757543,5,"Mar,27 2019 12:42:07",Sweet!!,M,ARMY GREEN
4757543,5,"Mar,27 2019 12:41:52",Love it,M,BLACK
4757543,5,"Mar,27 2019 12:41:25",Love it!!!,M,RED WINE
4757543,5,"Jul,30 2019 04:09:40",Cute,S,ARMY GREEN
4757543,5,"Jul,25 2019 00:58:29",Fits great sizing chart was pretty accurate came within a week didn’t have to wait long and was reasonably inexpensive,2XL,DARK GRAY
4757543,5,"Jun,22 2019 18:32:27","The color is great, it's thinner that you think, but it is still very warm, all around a good purchase",M,ARMY GREEN
4757543,5,"Sep,20 2019 16:44:57",so warm and stylish,S,RED WINE
4757543,5,"Nov,10 2019 15:13:02",The best hoodie I’ve ever owned.,M,LIGHT GRAY
4757543,5,"May,11 2019 14:27:41",Was hesitant in ordering from a new site but everything went great. Material is soft and the look is really nice. Got a large and I’m about 6’0 medium build. I’ll be ordering again.,L,DARK GRAY
4757543,5,"Apr,30 2019 01:26:04",I ordered one for my husband . He is so satisfied with the product now buying more 2 of it .,2XL,DARK GRAY
